City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
229,Pathein,MM,16.7833,94.7333,69.98,70,30,5.28,scattered clouds
230,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,87.78,58,89,3.33,overcast clouds
231,Hasaki,JP,35.7333,140.8333,28.8,77,99,8.7,overcast clouds
232,Opuwo,NA,-18.0607,13.84,83.16,24,53,18.86,broken clouds
233,Taltal,CL,-25.4,-70.4833,70.05,67,6,6.42,clear sky
234,San Cristobal,VE,7.7669,-72.225,73.58,47,53,1.19,broken clouds
235,Half Moon Bay,US,37.4636,-122.4286,55.31,79,0,0.0,clear sky
236,Narsaq,GL,60.9167,-46.05,10.62,68,86,22.06,overcast clouds
237,Vostok,RU,46.4856,135.8833,-12.28,99,100,3.53,overcast clouds
238,Iralaya,HN,15.0,-83.2333,84.29,63,7,7.11,clear sky
239,Saint George,US,37.1041,-113.5841,39.34,39,0,1.01,clear sky
240,Saint-Joseph,RE,-21.3667,55.6167,79.18,85,100,25.14,moderate rain
241,Vila,PT,42.0304,-8.1588,45.73,82,100,4.05,overcast clouds
242,Port Lincoln,AU,-34.7333,135.8667,63.34,81,61,15.9,broken clouds
243,Flin Flon,CA,54.7682,-101.865,-17.95,89,64,3.65,broken clouds
244,Clyde River,CA,70.4692,-68.5914,-3.77,84,100,24.16,snow
245,Bundaberg,AU,-24.85,152.35,70.21,75,100,5.01,overcast clouds
246,Miraflores,MX,19.2167,-98.8083,65.05,34,0,5.57,clear sky
247,Johannesburg,ZA,-26.2023,28.0436,62.15,90,89,1.01,moderate rain
248,Najran,SA,17.4924,44.1277,71.13,40,44,4.72,scattered clouds
249,Hualmay,PE,-11.0964,-77.6139,75.56,72,38,11.39,scattered clouds
250,Carnarvon,AU,-24.8667,113.6333,82.2,60,9,16.28,clear sky
251,Vestmannaeyjar,IS,63.4427,-20.2734,38.39,56,20,8.05,few clouds
252,Tirumullaivasal,IN,11.2333,79.8333,76.77,77,47,12.12,scattered clouds
253,Waipawa,NZ,-41.4122,175.5153,56.03,96,100,13.89,light rain
254,Mana,GF,5.6592,-53.7767,79.18,84,69,9.6,light rain
255,Tomatlan,MX,19.9333,-105.25,83.1,34,46,4.03,scattered clouds
256,Truro,GB,50.2653,-5.0544,47.59,71,40,23.02,scattered clouds
257,Bolivar,US,37.6145,-93.4105,22.84,75,28,1.01,scattered clouds
258,Tam Ky,VN,15.5667,108.4833,66.18,92,100,3.31,overcast clouds
259,Foix,FR,42.8333,1.5833,50.18,11,100,3.85,overcast clouds
260,Puerto Colombia,CO,10.9878,-74.9547,89.69,69,2,23.38,clear sky
261,Kapit,MY,2.0167,112.9333,73.74,99,100,0.76,overcast clouds
262,Ridgecrest,US,35.6225,-117.6709,49.39,31,21,3.71,few clouds
263,Airai,TL,-8.9266,125.4092,61.18,89,100,1.95,overcast clouds
264,Hoyanger,NO,61.2204,6.0749,37.62,98,100,15.03,snow
265,Chapais,CA,49.7834,-74.8492,-6.3,80,65,4.85,broken clouds
266,Mende,FR,44.6667,3.5,35.04,95,100,3.33,overcast clouds
267,Port-Gentil,GA,-0.7193,8.7815,80.44,75,60,7.72,broken clouds
268,San Pietro In Casale,IT,44.6996,11.4022,51.53,95,99,3.71,overcast clouds
269,Vardo,NO,70.3705,31.1107,19.38,79,75,20.71,broken clouds
270,Dayong,CN,25.0209,118.2898,51.89,89,100,3.0,overcast clouds
271,Ewa Beach,US,21.3156,-158.0072,68.68,82,0,4.61,clear sky
272,Serebriya,UA,48.4559,27.7192,32.74,81,86,4.27,overcast clouds
273,Itarema,BR,-2.9248,-39.9167,83.32,67,100,14.83,heavy intensity rain
274,Klaksvik,FO,62.2266,-6.589,34.72,66,92,45.9,light snow
275,Saldanha,ZA,-33.0117,17.9442,64.29,68,0,23.64,clear sky
276,Aljezur,PT,37.3191,-8.8033,60.08,58,100,7.94,light rain
277,Mayumba,GA,-3.432,10.6554,78.6,79,97,4.34,overcast clouds
278,Teya,RU,60.3778,92.6267,16.88,92,100,10.49,overcast clouds
279,Itatiaia,BR,-22.4961,-44.5633,82.71,78,96,0.81,moderate rain
280,Paamiut,GL,61.994,-49.6678,7.93,69,100,12.44,light snow
281,Birjand,IR,32.8663,59.2211,51.35,27,1,5.46,clear sky
282,Pochutla,MX,15.7432,-96.4661,86.83,40,0,7.14,clear sky
283,Richards Bay,ZA,-28.783,32.0377,73.13,94,100,14.92,moderate rain
284,Suez,EG,29.9737,32.5263,55.89,70,31,18.81,scattered clouds
285,Alta Floresta,BR,-9.8756,-56.0861,85.98,67,33,2.46,scattered clouds
286,Kushiro,JP,42.975,144.3747,15.46,85,45,5.57,scattered clouds
287,Swift Current,CA,50.2834,-107.8014,0.41,71,75,24.16,haze
288,Maniitsoq,GL,65.4167,-52.9,6.55,86,100,13.18,light snow
289,Solok,ID,-0.7918,100.6593,71.1,96,99,1.74,light rain
290,Bocaiuva,BR,-17.1078,-43.815,84.69,57,99,1.66,heavy intensity rain
291,Manoel Urbano,BR,-8.8389,-69.2597,82.35,80,86,4.83,overcast clouds
292,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,82.71,82,89,0.4,overcast clouds
293,Vila Franca Do Campo,PT,37.7167,-25.4333,65.19,66,100,11.43,overcast clouds
294,Voi,KE,-3.3945,38.563,82.26,41,88,5.1,overcast clouds
295,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,84,99,11.3,overcast clouds
296,Puerto Varas,CL,-41.3195,-72.9854,65.86,67,75,9.22,broken clouds
