City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,Nemuro,43.3236,145.575,27.57,95,100,3.06,JP,2022-01-26 22:28:26
339,Hoquiam,46.9809,-123.8893,56.01,71,0,12.66,US,2022-01-26 22:28:27
340,Karachi,24.9056,67.0822,57.02,47,1,5.75,PK,2022-01-26 22:28:27
341,Fukue,32.6881,128.8419,48.74,58,98,8.97,JP,2022-01-26 22:28:27
342,Dakar,14.6937,-17.4441,73.53,78,0,9.22,SN,2022-01-26 22:26:39
343,Rawlins,41.7911,-107.2387,28.62,53,0,9.22,US,2022-01-26 22:28:28
344,Albstadt,48.2164,9.026,27.05,95,78,2.21,DE,2022-01-26 22:28:28
345,Paragominas,-2.9667,-47.4833,73.09,95,100,2.73,BR,2022-01-26 22:28:28
346,Treinta Y Tres,-33.2333,-54.3833,70.41,96,100,6.38,UY,2022-01-26 22:28:29
347,Kirensk,57.7853,108.1119,-5.96,100,97,1.48,RU,2022-01-26 22:28:29
348,Santa Vitoria Do Palmar,-33.5189,-53.3681,70.38,93,100,8.43,BR,2022-01-26 22:28:29
349,Nome,64.5011,-165.4064,-16.83,90,0,0.0,US,2022-01-26 22:28:30
350,Hervey Bay,-25.2986,152.8535,78.03,75,100,8.99,AU,2022-01-26 22:23:55
351,Pacific Grove,36.6177,-121.9166,68.58,71,0,1.01,US,2022-01-26 22:28:30
352,Kieta,-6.2167,155.6333,80.04,83,100,1.48,PG,2022-01-26 22:28:31
353,Alamogordo,32.8995,-105.9603,53.56,37,0,5.75,US,2022-01-26 22:25:26
354,Tangi,34.3006,71.6536,42.8,35,0,4.72,PK,2022-01-26 22:28:31
355,Uhlove,44.8215,33.6045,30.56,96,100,6.89,UA,2022-01-26 22:28:32
356,Cherskiy,68.75,161.3,-44.27,99,47,4.05,RU,2022-01-26 22:28:32
357,Berlevag,70.8578,29.0864,24.75,68,0,20.71,NO,2022-01-26 22:28:32
358,Sicamous,50.8331,-118.9856,33.19,87,94,1.95,CA,2022-01-26 22:28:33
359,Slavsk,55.0425,21.677,37.87,91,100,14.56,RU,2022-01-26 22:28:33
360,Verkhnyaya Inta,65.9811,60.3094,9.07,92,100,7.85,RU,2022-01-26 22:28:33
361,Manbij,36.5281,37.9549,36.37,97,100,9.04,SY,2022-01-26 22:28:34
362,Terra Santa,-2.1042,-56.4869,77.22,89,100,1.88,BR,2022-01-26 22:28:34
363,Tlaltenango,19.1667,-98.3333,68.5,34,0,14.97,MX,2022-01-26 22:29:34
364,Beitbridge,-22.2167,30.0,72.14,86,100,19.44,ZW,2022-01-26 22:29:35
365,Provideniya,64.3833,-173.3,-5.69,65,75,4.47,RU,2022-01-26 22:26:44
366,Ahuimanu,21.4447,-157.8378,80.31,64,40,4.0,US,2022-01-26 22:29:35
367,Kungurtug,50.5994,97.5228,-18.36,94,37,1.92,RU,2022-01-26 22:29:36
368,Seymchan,62.8833,152.4333,-38.65,100,94,0.98,RU,2022-01-26 22:29:36
369,Areni,39.7191,45.1799,26.96,76,36,4.88,AM,2022-01-26 22:29:36
370,Naranjal,-2.6667,-79.6167,85.8,91,100,2.35,EC,2022-01-26 22:29:37
371,Shelburne,44.0787,-80.2041,14.45,80,54,5.48,CA,2022-01-26 22:29:37
372,Chambar,25.2931,68.812,56.07,33,0,0.4,PK,2022-01-26 22:29:37
373,Dabakala,8.3667,-4.4333,78.89,15,10,1.99,CI,2022-01-26 22:29:38
374,Kudahuvadhoo,2.6708,72.8944,80.31,67,100,15.73,MV,2022-01-26 22:29:38
375,Vardo,70.3705,31.1107,17.35,74,30,17.13,NO,2022-01-26 22:29:39
376,Romny,50.751,33.4747,18.43,94,100,1.83,UA,2022-01-26 22:29:39
377,Yaan,7.3833,8.5667,79.65,16,2,6.24,NG,2022-01-26 22:29:39
378,Altamira,-3.2033,-52.2064,78.89,100,40,2.3,BR,2022-01-26 22:25:03
379,Arman,59.7,150.1667,-13.72,82,99,10.07,RU,2022-01-26 22:29:40
380,Burayevo,55.8407,55.4083,15.49,94,100,11.81,RU,2022-01-26 22:29:40
381,Victoria,22.2855,114.1577,66.38,86,99,5.99,HK,2022-01-26 22:24:40
382,Lochem,52.1592,6.4111,40.86,89,100,15.3,NL,2022-01-26 22:29:40
383,Waipawa,-41.4122,175.5153,58.93,67,96,15.9,NZ,2022-01-26 22:25:18
384,Isangel,-19.55,169.2667,84.31,89,75,3.44,VU,2022-01-26 22:29:41
385,Contamana,-7.3333,-75.0167,84.49,55,90,2.48,PE,2022-01-26 22:29:41
386,Masuguru,-11.3667,38.4167,72.21,92,89,4.23,TZ,2022-01-26 22:29:42
387,Tura,25.5198,90.2201,55.58,89,69,3.87,IN,2022-01-26 22:29:42
388,Tsumeb,-19.2333,17.7167,71.15,65,95,4.92,NA,2022-01-26 22:25:17
389,Delhi,28.6667,77.2167,48.29,93,7,0.0,IN,2022-01-26 22:25:01
390,Monrovia,6.3005,-10.7969,76.77,80,4,6.53,LR,2022-01-26 22:29:43
391,Tank,32.2217,70.3793,50.63,39,0,2.57,PK,2022-01-26 22:29:43
392,Lata,40.1629,-8.3327,50.41,80,34,4.23,PT,2022-01-26 22:29:43
393,Bandar-E Anzali,37.4727,49.4622,48.31,86,88,7.99,IR,2022-01-26 22:29:44
