City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
369,Jambi,ID,72.95,scattered clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
370,Naliya,IN,67.75,clear sky,23.2667,68.8333,jadeja jayendrasinh
373,Flinders,AU,65.8,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
375,Noumea,NC,76.98,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
378,Diffa,NE,72.77,clear sky,13.3154,12.6113,ProDAF/Diffa
381,Waiuku,NZ,73.26,overcast clouds,-37.25,174.75,Waiuku Lodge Motel
383,Mogadishu,SO,77.85,few clouds,2.0371,45.3438,Hotel Juba
385,Ancud,CL,70.43,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
387,Phuket,TH,75.42,few clouds,8.0,98.25,The Surin
391,Camana,PE,75.38,scattered clouds,-16.6228,-72.7111,Hostal Morales
393,Tshikapa,CD,72.63,broken clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
395,Oriximina,BR,78.15,heavy intensity rain,-1.7656,-55.8661,Pousada Tia Amélia
396,Caravelas,BR,79.72,light rain,-17.7125,-39.2481,Pousada dos Navegantes
400,Dwarka,IN,70.45,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
401,Beruwala,LK,74.46,few clouds,6.4788,79.9828,The Palms Hotel
402,Puerto Narino,CO,75.15,moderate rain,-3.7703,-70.3831,Eware Refugio Amazonico
413,Bubaque,GW,79.36,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
416,Charters Towers,AU,72.86,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
420,Okato,NZ,69.91,light rain,-39.2,173.8833,Goodin Country Garden
426,Abu Dhabi,AE,69.91,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
429,Tessalit,ML,76.37,clear sky,20.1986,1.0114,
433,Ampanihy,MG,73.98,clear sky,-24.7,44.75,Angora Hotel
434,Paraiso,CR,77.88,broken clouds,9.8383,-83.8656,Hotel Rinconcito Verde
436,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
437,Ngunguru,NZ,71.17,broken clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
440,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
441,Bandundu,CD,79.57,light rain,-3.3167,17.3667,Coja Color
445,Galle,LK,75.31,scattered clouds,6.0367,80.217,Amangalla
449,Atambua,ID,74.19,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
450,Kiama,AU,66.0,broken clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
451,Broken Hill,AU,67.21,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
